Trait,Marker,Chr,Pos,marker_F,p,marker_Rsq,add_F,add_p,dom_F,dom_p,marker_df,marker_MS,error_df,error_MS,model_df,model_MS,minorObs
logit_germ,Zm00001d027325,1,2974684,3.25289,0.07148,0.00195,3.25289,0.07148,NaN,NaN,1,4.9919,1668,1.5346,1,4.9919,7
logit_germ,Zm00001d027329,1,3033135,2.24668,0.13409,0.00135,2.24668,0.13409,NaN,NaN,1,3.44984,1668,1.53553,1,3.44984,4
logit_germ,Zm00001d027333,1,3104238,0.00374,0.95122,2.24E-06,0.00374,0.95122,NaN,NaN,1,0.00576,1668,1.53759,1,0.00576,5
logit_germ,Zm00001d027344,1,3371773,0.19388,0.65976,1.16E-04,0.19388,0.65976,NaN,NaN,1,0.29808,1668,1.53742,1,0.29808,7
logit_germ,Zm00001d027347,1,3382895,0.52803,0.46754,3.16E-04,0.52803,0.46754,NaN,NaN,1,0.81164,1668,1.53711,1,0.81164,4
logit_germ,Zm00001d027349,1,3445592,0.73028,0.39291,4.38E-04,0.73028,0.39291,NaN,NaN,1,1.12239,1668,1.53692,1,1.12239,8
logit_germ,Zm00001d027351,1,3483039,0.64058,0.42362,3.84E-04,0.64058,0.42362,NaN,NaN,1,0.98457,1668,1.53701,1,0.98457,9
logit_germ,Zm00001d027354,1,3544719,0.13532,0.71303,8.11E-05,0.13532,0.71303,NaN,NaN,1,0.20805,1668,1.53747,1,0.20805,4
logit_germ,Zm00001d027362,1,3772796,1.40436,0.23616,8.41E-04,1.40436,0.23616,NaN,NaN,1,2.15752,1668,1.5363,1,2.15752,5
logit_germ,Zm00001d027366,1,3807308,0.36731,0.54456,2.20E-04,0.36731,0.54456,NaN,NaN,1,0.56464,1668,1.53726,1,0.56464,6
logit_germ,Zm00001d027367,1,3807555,0.03727,0.84694,2.23E-05,0.03727,0.84694,NaN,NaN,1,0.0573,1668,1.53756,1,0.0573,5
logit_germ,Zm00001d027371,1,3912899,1.01972,0.31273,6.11E-04,1.01972,0.31273,NaN,NaN,1,1.56696,1668,1.53666,1,1.56696,4
logit_germ,Zm00001d027373,1,3961041,1.69409,0.19324,0.00101,1.69409,0.19324,NaN,NaN,1,2.60218,1668,1.53604,1,2.60218,7
logit_germ,Zm00001d027376,1,3984955,2.90011,0.08876,0.00174,2.90011,0.08876,NaN,NaN,1,4.45146,1668,1.53493,1,4.45146,4
logit_germ,Zm00001d027383,1,4110349,0.02754,0.86821,1.65E-05,0.02754,0.86821,NaN,NaN,1,0.04235,1668,1.53757,1,0.04235,5
logit_germ,Zm00001d027394,1,4340428,0.0422,0.83727,2.53E-05,0.0422,0.83727,NaN,NaN,1,0.06488,1668,1.53756,1,0.06488,5
logit_germ,Zm00001d027395,1,4345787,0.278,0.59808,1.67E-04,0.278,0.59808,NaN,NaN,1,0.42738,1668,1.53734,1,0.42738,4
logit_germ,Zm00001d027401,1,4425581,3.25E-04,0.98562,1.95E-07,3.25E-04,0.98562,NaN,NaN,1,5.00E-04,1668,1.5376,1,5.00E-04,6
logit_germ,Zm00001d027403,1,4498635,1.13676,0.28649,6.81E-04,1.13676,0.28649,NaN,NaN,1,1.74669,1668,1.53655,1,1.74669,9
logit_germ,Zm00001d027412,1,4736465,1.63118,0.20172,9.77E-04,1.63118,0.20172,NaN,NaN,1,2.50564,1668,1.53609,1,2.50564,13
logit_germ,Zm00001d027421,1,4903061,0.08154,0.77525,4.89E-05,0.08154,0.77525,NaN,NaN,1,0.12538,1668,1.53752,1,0.12538,7
logit_germ,Zm00001d027422,1,4909136,0.47861,0.48915,2.87E-04,0.47861,0.48915,NaN,NaN,1,0.73569,1668,1.53716,1,0.73569,5
logit_germ,Zm00001d027425,1,4994253,0.56624,0.45186,3.39E-04,0.56624,0.45186,NaN,NaN,1,0.87036,1668,1.53708,1,0.87036,11
logit_germ,Zm00001d027427,1,5095487,0.04465,0.83268,2.68E-05,0.04465,0.83268,NaN,NaN,1,0.06864,1668,1.53756,1,0.06864,4
logit_germ,Zm00001d027429,1,5107038,0.01751,0.89474,1.05E-05,0.01751,0.89474,NaN,NaN,1,0.02693,1668,1.53758,1,0.02693,4
logit_germ,Zm00001d027445,1,5482178,0.5427,0.46142,3.25E-04,0.5427,0.46142,NaN,NaN,1,0.83418,1668,1.5371,1,0.83418,5
logit_germ,Zm00001d027446,1,5491916,5.98548,0.01453,0.00358,5.98548,0.01453,NaN,NaN,1,9.17035,1668,1.5321,1,9.17035,8
logit_germ,Zm00001d027447,1,5500220,4.67491,0.03075,0.00279,4.67491,0.03075,NaN,NaN,1,7.16804,1668,1.5333,1,7.16804,11
logit_germ,Zm00001d027448,1,5518982,0.825,0.36385,4.94E-04,0.825,0.36385,NaN,NaN,1,1.26789,1668,1.53684,1,1.26789,4
logit_germ,Zm00001d027468,1,5944473,1.70453,0.19188,0.00102,1.70453,0.19188,NaN,NaN,1,2.61821,1668,1.53603,1,2.61821,5
logit_germ,Zm00001d027472,1,6133252,0.16292,0.68653,9.77E-05,0.16292,0.68653,NaN,NaN,1,0.25048,1668,1.53745,1,0.25048,4
logit_germ,Zm00001d027487,1,6328684,1.01972,0.31273,6.11E-04,1.01972,0.31273,NaN,NaN,1,1.56696,1668,1.53666,1,1.56696,4
logit_germ,Zm00001d027506,1,7028779,0.19558,0.65837,1.17E-04,0.19558,0.65837,NaN,NaN,1,0.30069,1668,1.53742,1,0.30069,4
logit_germ,Zm00001d027508,1,7065274,0.87006,0.35107,5.21E-04,0.87006,0.35107,NaN,NaN,1,1.3371,1668,1.5368,1,1.3371,4
logit_germ,Zm00001d027510,1,7078861,6.73711,0.00953,0.00402,6.73711,0.00953,NaN,NaN,1,10.31728,1668,1.53141,1,10.31728,10
logit_germ,Zm00001d027512,1,7150865,0.06932,0.79236,4.16E-05,0.06932,0.79236,NaN,NaN,1,0.10659,1668,1.53753,1,0.10659,4
logit_germ,Zm00001d027523,1,7395611,0.81022,0.36818,4.86E-04,0.81022,0.36818,NaN,NaN,1,1.24519,1668,1.53685,1,1.24519,4
logit_germ,Zm00001d027532,1,7559236,0.27237,0.60182,1.63E-04,0.27237,0.60182,NaN,NaN,1,0.41872,1668,1.53735,1,0.41872,4
logit_germ,Zm00001d027542,1,7886500,0.14697,0.7015,8.81E-05,0.14697,0.7015,NaN,NaN,1,0.22596,1668,1.53746,1,0.22596,4
logit_germ,Zm00001d027544,1,7988348,0.9076,0.34089,5.44E-04,0.9076,0.34089,NaN,NaN,1,1.39477,1668,1.53676,1,1.39477,7
logit_germ,Zm00001d027556,1,8122450,0.0262,0.87144,1.57E-05,0.0262,0.87144,NaN,NaN,1,0.04028,1668,1.53757,1,0.04028,4
logit_germ,Zm00001d027558,1,8163945,1.48976,0.22243,8.92E-04,1.48976,0.22243,NaN,NaN,1,2.2886,1668,1.53622,1,2.2886,4
logit_germ,Zm00001d027570,1,8281130,0.84198,0.35896,5.05E-04,0.84198,0.35896,NaN,NaN,1,1.29398,1668,1.53682,1,1.29398,6
logit_germ,Zm00001d027571,1,8290330,2.30395,0.12923,0.00138,2.30395,0.12923,NaN,NaN,1,3.53766,1668,1.53548,1,3.53766,10
logit_germ,Zm00001d027572,1,8302701,2.25847,0.13307,0.00135,2.25847,0.13307,NaN,NaN,1,3.46792,1668,1.53552,1,3.46792,6
logit_germ,Zm00001d027573,1,8312267,0.64589,0.4217,3.87E-04,0.64589,0.4217,NaN,NaN,1,0.99273,1668,1.537,1,0.99273,4
logit_germ,Zm00001d027576,1,8334016,0.45738,0.49894,2.74E-04,0.45738,0.49894,NaN,NaN,1,0.70308,1668,1.53718,1,0.70308,4
logit_germ,Zm00001d027585,1,8486494,1.99638,0.15786,0.0012,1.99638,0.15786,NaN,NaN,1,3.06596,1668,1.53576,1,3.06596,9
logit_germ,Zm00001d027588,1,8552616,0.5665,0.45176,3.40E-04,0.5665,0.45176,NaN,NaN,1,0.87076,1668,1.53707,1,0.87076,5
logit_germ,Zm00001d027596,1,8670704,0.27199,0.60207,1.63E-04,0.27199,0.60207,NaN,NaN,1,0.41815,1668,1.53735,1,0.41815,8
logit_germ,Zm00001d027597,1,8676155,1.01972,0.31273,6.11E-04,1.01972,0.31273,NaN,NaN,1,1.56696,1668,1.53666,1,1.56696,4
logit_germ,Zm00001d027612,1,9012932,0.17176,0.67861,1.03E-04,0.17176,0.67861,NaN,NaN,1,0.26407,1668,1.53744,1,0.26407,5
logit_germ,Zm00001d027616,1,9109195,0.01059,0.91804,6.35E-06,0.01059,0.91804,NaN,NaN,1,0.01629,1668,1.53759,1,0.01629,5
logit_germ,Zm00001d027624,1,9342020,0.89214,0.34503,5.35E-04,0.89214,0.34503,NaN,NaN,1,1.37102,1668,1.53678,1,1.37102,10
logit_germ,Zm00001d027625,1,9352654,0.00282,0.95767,1.69E-06,0.00282,0.95767,NaN,NaN,1,0.00433,1668,1.53759,1,0.00433,11
logit_germ,Zm00001d027630,1,9489688,0.00634,0.93656,3.80E-06,0.00634,0.93656,NaN,NaN,1,0.00974,1668,1.53759,1,0.00974,8
logit_germ,Zm00001d027633,1,9556014,1.49639,0.2214,8.96E-04,1.49639,0.2214,NaN,NaN,1,2.29878,1668,1.53622,1,2.29878,6
logit_germ,Zm00001d027655,1,10258286,0.15576,0.69314,9.34E-05,0.15576,0.69314,NaN,NaN,1,0.23947,1668,1.53745,1,0.23947,5
logit_germ,Zm00001d027659,1,10349336,0.05426,0.81583,3.25E-05,0.05426,0.81583,NaN,NaN,1,0.08343,1668,1.53755,1,0.08343,6
logit_germ,Zm00001d027672,1,10687153,0.53814,0.46331,3.23E-04,0.53814,0.46331,NaN,NaN,1,0.82717,1668,1.5371,1,0.82717,4
logit_germ,Zm00001d027688,1,11165000,0.35206,0.55303,2.11E-04,0.35206,0.55303,NaN,NaN,1,0.54121,1668,1.53727,1,0.54121,5
logit_germ,Zm00001d027699,1,11358881,0.82708,0.36325,4.96E-04,0.82708,0.36325,NaN,NaN,1,1.27108,1668,1.53683,1,1.27108,4
logit_germ,Zm00001d027703,1,11494322,0.60261,0.4377,3.61E-04,0.60261,0.4377,NaN,NaN,1,0.92623,1668,1.53704,1,0.92623,4
logit_germ,Zm00001d027709,1,11671464,0.39249,0.53108,2.35E-04,0.39249,0.53108,NaN,NaN,1,0.60335,1668,1.53724,1,0.60335,4
logit_germ,Zm00001d027721,1,12145202,1.01972,0.31273,6.11E-04,1.01972,0.31273,NaN,NaN,1,1.56696,1668,1.53666,1,1.56696,4
logit_germ,Zm00001d027722,1,12171480,1.44428,0.22962,8.65E-04,1.44428,0.22962,NaN,NaN,1,2.2188,1668,1.53627,1,2.2188,8
logit_germ,Zm00001d027726,1,12295347,5.2781,0.02172,0.00315,5.2781,0.02172,NaN,NaN,1,8.08998,1668,1.53275,1,8.08998,8
logit_germ,Zm00001d027734,1,12375229,2.33476,0.1267,0.0014,2.33476,0.1267,NaN,NaN,1,3.5849,1668,1.53545,1,3.5849,11
logit_germ,Zm00001d027752,1,12633474,0.38909,0.53286,2.33E-04,0.38909,0.53286,NaN,NaN,1,0.59812,1668,1.53724,1,0.59812,10
logit_germ,Zm00001d027756,1,12710168,5.37039,0.0206,0.00321,5.37039,0.0206,NaN,NaN,1,8.23099,1668,1.53266,1,8.23099,6
logit_germ,Zm00001d027768,1,13167077,0.0947,0.75833,5.68E-05,0.0947,0.75833,NaN,NaN,1,0.1456,1668,1.53751,1,0.1456,6
logit_germ,Zm00001d027803,1,13909642,0.00864,0.92595,5.18E-06,0.00864,0.92595,NaN,NaN,1,0.01328,1668,1.53759,1,0.01328,5
logit_germ,Zm00001d027827,1,14612404,0.0312,0.85981,1.87E-05,0.0312,0.85981,NaN,NaN,1,0.04798,1668,1.53757,1,0.04798,9
logit_germ,Zm00001d027834,1,14666143,4.4381,0.03529,0.00265,4.4381,0.03529,NaN,NaN,1,6.8059,1668,1.53352,1,6.8059,4
logit_germ,Zm00001d027838,1,14705955,0.35668,0.55043,2.14E-04,0.35668,0.55043,NaN,NaN,1,0.54832,1668,1.53727,1,0.54832,5
logit_germ,Zm00001d027841,1,14831968,0.55617,0.45591,3.33E-04,0.55617,0.45591,NaN,NaN,1,0.85489,1668,1.53708,1,0.85489,8
logit_germ,Zm00001d027844,1,15013103,0.87991,0.34836,5.27E-04,0.87991,0.34836,NaN,NaN,1,1.35224,1668,1.53679,1,1.35224,8
logit_germ,Zm00001d027851,1,15177576,1.1487,0.28398,6.88E-04,1.1487,0.28398,NaN,NaN,1,1.76502,1668,1.53654,1,1.76502,7
logit_germ,Zm00001d027869,1,15967814,1.34655,0.24605,8.07E-04,1.34655,0.24605,NaN,NaN,1,2.06879,1668,1.53636,1,2.06879,6
logit_germ,Zm00001d027876,1,16228091,3.43078,0.06417,0.00205,3.43078,0.06417,NaN,NaN,1,5.26433,1668,1.53444,1,5.26433,9
logit_germ,Zm00001d027880,1,16446901,0.16885,0.68119,1.01E-04,0.16885,0.68119,NaN,NaN,1,0.2596,1668,1.53744,1,0.2596,4
logit_germ,Zm00001d027885,1,16721846,2.21462,0.1369,0.00133,2.21462,0.1369,NaN,NaN,1,3.40067,1668,1.53556,1,3.40067,18
logit_germ,Zm00001d027893,1,16951762,1.10404,0.29353,6.61E-04,1.10404,0.29353,NaN,NaN,1,1.69644,1668,1.53658,1,1.69644,8
logit_germ,Zm00001d027896,1,16980005,0.0262,0.87144,1.57E-05,0.0262,0.87144,NaN,NaN,1,0.04028,1668,1.53757,1,0.04028,4
logit_germ,Zm00001d027936,1,17970851,1.50076,0.22073,8.99E-04,1.50076,0.22073,NaN,NaN,1,2.30548,1668,1.53621,1,2.30548,11
logit_germ,Zm00001d027937,1,17980745,5.55466,0.01855,0.00332,5.55466,0.01855,NaN,NaN,1,8.51248,1668,1.53249,1,8.51248,5
logit_germ,Zm00001d027943,1,18040954,3.88384,0.04892,0.00232,3.88384,0.04892,NaN,NaN,1,5.95791,1668,1.53403,1,5.95791,4
logit_germ,Zm00001d027950,1,18186787,2.55191,0.11035,0.00153,2.55191,0.11035,NaN,NaN,1,3.91781,1668,1.53525,1,3.91781,4
logit_germ,Zm00001d027954,1,18274992,2.3959,0.12184,0.00143,2.3959,0.12184,NaN,NaN,1,3.67865,1668,1.53539,1,3.67865,5
logit_germ,Zm00001d027966,1,18520530,0.68773,0.40705,4.12E-04,0.68773,0.40705,NaN,NaN,1,1.05702,1668,1.53696,1,1.05702,4
logit_germ,Zm00001d027975,1,18955942,1.52875,0.21647,9.16E-04,1.52875,0.21647,NaN,NaN,1,2.34845,1668,1.53619,1,2.34845,4
logit_germ,Zm00001d027987,1,19434307,0.24522,0.62053,1.47E-04,0.24522,0.62053,NaN,NaN,1,0.37699,1668,1.53737,1,0.37699,4
logit_germ,Zm00001d028002,1,19963120,0.05381,0.81659,3.23E-05,0.05381,0.81659,NaN,NaN,1,0.08274,1668,1.53755,1,0.08274,5
logit_germ,Zm00001d028009,1,20230620,0.08848,0.76616,5.30E-05,0.08848,0.76616,NaN,NaN,1,0.13603,1668,1.53752,1,0.13603,4
logit_germ,Zm00001d028025,1,20835688,1.45593,0.22775,8.72E-04,1.45593,0.22775,NaN,NaN,1,2.23667,1668,1.53626,1,2.23667,5
logit_germ,Zm00001d028046,1,21552509,0.28874,0.5911,1.73E-04,0.28874,0.5911,NaN,NaN,1,0.44389,1668,1.53733,1,0.44389,8
logit_germ,Zm00001d028047,1,21553107,0.72656,0.39412,4.35E-04,0.72656,0.39412,NaN,NaN,1,1.11667,1668,1.53693,1,1.11667,17
logit_germ,Zm00001d028055,1,21776208,0.21526,0.64273,1.29E-04,0.21526,0.64273,NaN,NaN,1,0.33094,1668,1.5374,1,0.33094,5
logit_germ,Zm00001d028073,1,21998084,0.13721,0.71112,8.23E-05,0.13721,0.71112,NaN,NaN,1,0.21096,1668,1.53747,1,0.21096,6
logit_germ,Zm00001d028075,1,22062706,0.38429,0.5354,2.30E-04,0.38429,0.5354,NaN,NaN,1,0.59074,1668,1.53724,1,0.59074,9
logit_germ,Zm00001d028084,1,22273894,4.14223,0.04198,0.00248,4.14223,0.04198,NaN,NaN,1,6.35331,1668,1.53379,1,6.35331,5
logit_germ,Zm00001d028088,1,22601233,1.89618,0.16869,0.00114,1.89618,0.16869,NaN,NaN,1,2.91226,1668,1.53585,1,2.91226,4
logit_germ,Zm00001d028093,1,22739051,0.00208,0.96366,1.24E-06,0.00208,0.96366,NaN,NaN,1,0.00319,1668,1.5376,1,0.00319,5
logit_germ,Zm00001d028097,1,22891885,0.01721,0.89565,1.03E-05,0.01721,0.89565,NaN,NaN,1,0.02646,1668,1.53758,1,0.02646,6
logit_germ,Zm00001d028098,1,22960149,0.63975,0.42392,3.83E-04,0.63975,0.42392,NaN,NaN,1,0.9833,1668,1.53701,1,0.9833,5
logit_germ,Zm00001d028100,1,23004528,0.04996,0.82316,3.00E-05,0.04996,0.82316,NaN,NaN,1,0.07681,1668,1.53755,1,0.07681,11
logit_germ,Zm00001d028102,1,23004643,0.27429,0.60054,1.64E-04,0.27429,0.60054,NaN,NaN,1,0.42168,1668,1.53734,1,0.42168,6
logit_germ,Zm00001d028105,1,23022982,1.58774,0.20783,9.51E-04,1.58774,0.20783,NaN,NaN,1,2.43899,1668,1.53613,1,2.43899,6
logit_germ,Zm00001d028107,1,23032812,1.8453,0.17451,0.00111,1.8453,0.17451,NaN,NaN,1,2.8342,1668,1.5359,1,2.8342,4
logit_germ,Zm00001d028111,1,23122603,0.04764,0.82724,2.86E-05,0.04764,0.82724,NaN,NaN,1,0.07325,1668,1.53755,1,0.07325,7
logit_germ,Zm00001d028114,1,23265545,1.10508,0.29331,6.62E-04,1.10508,0.29331,NaN,NaN,1,1.69804,1668,1.53658,1,1.69804,5
logit_germ,Zm00001d028119,1,23366214,0.03471,0.85222,2.08E-05,0.03471,0.85222,NaN,NaN,1,0.05337,1668,1.53757,1,0.05337,4
logit_germ,Zm00001d028125,1,23561927,0.03407,0.85358,2.04E-05,0.03407,0.85358,NaN,NaN,1,0.05239,1668,1.53757,1,0.05239,4
logit_germ,Zm00001d028128,1,23602392,0.13532,0.71303,8.11E-05,0.13532,0.71303,NaN,NaN,1,0.20805,1668,1.53747,1,0.20805,4
logit_germ,Zm00001d028140,1,23976559,0.1831,0.66878,1.10E-04,0.1831,0.66878,NaN,NaN,1,0.2815,1668,1.53743,1,0.2815,9
logit_germ,Zm00001d028143,1,24001497,1.50479,0.22011,9.01E-04,1.50479,0.22011,NaN,NaN,1,2.31168,1668,1.53621,1,2.31168,10
logit_germ,Zm00001d028152,1,24311039,1.46738,0.22593,8.79E-04,1.46738,0.22593,NaN,NaN,1,2.25426,1668,1.53625,1,2.25426,4
logit_germ,Zm00001d028160,1,24593047,0.067,0.79579,4.02E-05,0.067,0.79579,NaN,NaN,1,0.10301,1668,1.53754,1,0.10301,4
logit_germ,Zm00001d028169,1,25108446,0.07945,0.77808,4.76E-05,0.07945,0.77808,NaN,NaN,1,0.12215,1668,1.53752,1,0.12215,4
logit_germ,Zm00001d028177,1,25565775,0.13443,0.71393,8.06E-05,0.13443,0.71393,NaN,NaN,1,0.20668,1668,1.53747,1,0.20668,5
logit_germ,Zm00001d028180,1,25633016,0.11587,0.7336,6.95E-05,0.11587,0.7336,NaN,NaN,1,0.17815,1668,1.53749,1,0.17815,4
logit_germ,Zm00001d028181,1,25715355,3.16047,0.07562,0.00189,3.16047,0.07562,NaN,NaN,1,4.85035,1668,1.53469,1,4.85035,4
logit_germ,Zm00001d028188,1,25766633,1.52875,0.21647,9.16E-04,1.52875,0.21647,NaN,NaN,1,2.34845,1668,1.53619,1,2.34845,4
logit_germ,Zm00001d028189,1,25774025,0.2796,0.59703,1.68E-04,0.2796,0.59703,NaN,NaN,1,0.42985,1668,1.53734,1,0.42985,6
logit_germ,Zm00001d028194,1,25926301,0.71915,0.39654,4.31E-04,0.71915,0.39654,NaN,NaN,1,1.10529,1668,1.53693,1,1.10529,5
logit_germ,Zm00001d028195,1,25930428,0.22481,0.63546,1.35E-04,0.22481,0.63546,NaN,NaN,1,0.34562,1668,1.53739,1,0.34562,7
logit_germ,Zm00001d028197,1,25935960,0.00672,0.93467,4.03E-06,0.00672,0.93467,NaN,NaN,1,0.01033,1668,1.53759,1,0.01033,7
logit_germ,Zm00001d028203,1,26132274,0.0262,0.87144,1.57E-05,0.0262,0.87144,NaN,NaN,1,0.04028,1668,1.53757,1,0.04028,4
logit_germ,Zm00001d028204,1,26173929,0.23979,0.62442,1.44E-04,0.23979,0.62442,NaN,NaN,1,0.36864,1668,1.53738,1,0.36864,4
logit_germ,Zm00001d028211,1,26529523,0.23746,0.62611,1.42E-04,0.23746,0.62611,NaN,NaN,1,0.36507,1668,1.53738,1,0.36507,4
logit_germ,Zm00001d028213,1,26609623,0.00655,0.93552,3.93E-06,0.00655,0.93552,NaN,NaN,1,0.01007,1668,1.53759,1,0.01007,6
logit_germ,Zm00001d028232,1,27419294,2.84503,0.09184,0.0017,2.84503,0.09184,NaN,NaN,1,4.36705,1668,1.53498,1,4.36705,5
logit_germ,Zm00001d028240,1,27696071,2.84503,0.09184,0.0017,2.84503,0.09184,NaN,NaN,1,4.36705,1668,1.53498,1,4.36705,5
logit_germ,Zm00001d028243,1,27819256,1.33313,0.24841,7.99E-04,1.33313,0.24841,NaN,NaN,1,2.04818,1668,1.53637,1,2.04818,9
logit_germ,Zm00001d028260,1,28170029,1.8453,0.17451,0.00111,1.8453,0.17451,NaN,NaN,1,2.8342,1668,1.5359,1,2.8342,4
logit_germ,Zm00001d028265,1,28609567,0.16333,0.68616,9.79E-05,0.16333,0.68616,NaN,NaN,1,0.25111,1668,1.53745,1,0.25111,9
logit_germ,Zm00001d028267,1,28641114,0.01584,0.89986,9.50E-06,0.01584,0.89986,NaN,NaN,1,0.02436,1668,1.53758,1,0.02436,14
logit_germ,Zm00001d028279,1,28996898,0.36578,0.54539,2.19E-04,0.36578,0.54539,NaN,NaN,1,0.5623,1668,1.53726,1,0.5623,4
logit_germ,Zm00001d028284,1,29165882,0.36979,0.5432,2.22E-04,0.36979,0.5432,NaN,NaN,1,0.56846,1668,1.53726,1,0.56846,9
logit_germ,Zm00001d028293,1,29407446,1.92E-04,0.98895,1.15E-07,1.92E-04,0.98895,NaN,NaN,1,2.95E-04,1668,1.5376,1,2.95E-04,24
logit_germ,Zm00001d028299,1,29673354,2.48844,0.11488,0.00149,2.48844,0.11488,NaN,NaN,1,3.82052,1668,1.53531,1,3.82052,5
logit_germ,Zm00001d028332,1,31060604,1.46434,0.22641,8.77E-04,1.46434,0.22641,NaN,NaN,1,2.24958,1668,1.53625,1,2.24958,7
logit_germ,Zm00001d028339,1,31211809,1.06132,0.30306,6.36E-04,1.06132,0.30306,NaN,NaN,1,1.63084,1668,1.53662,1,1.63084,4
logit_germ,Zm00001d028352,1,31683849,0.73344,0.39189,4.40E-04,0.73344,0.39189,NaN,NaN,1,1.12723,1668,1.53692,1,1.12723,4
logit_germ,Zm00001d028359,1,32043943,0.18619,0.66616,1.12E-04,0.18619,0.66616,NaN,NaN,1,0.28626,1668,1.53743,1,0.28626,4
logit_germ,Zm00001d028370,1,32364403,2.29284,0.13016,0.00137,2.29284,0.13016,NaN,NaN,1,3.52063,1668,1.53549,1,3.52063,5
logit_germ,Zm00001d028372,1,32442250,1.77133,0.1834,0.00106,1.77133,0.1834,NaN,NaN,1,2.7207,1668,1.53597,1,2.7207,6
logit_germ,Zm00001d028375,1,32606417,0.13873,0.7096,8.32E-05,0.13873,0.7096,NaN,NaN,1,0.21329,1668,1.53747,1,0.21329,8
logit_germ,Zm00001d028377,1,32606821,0.27296,0.60142,1.64E-04,0.27296,0.60142,NaN,NaN,1,0.41963,1668,1.53735,1,0.41963,6
logit_germ,Zm00001d028391,1,33116777,0.49846,0.48027,2.99E-04,0.49846,0.48027,NaN,NaN,1,0.76621,1668,1.53714,1,0.76621,7
logit_germ,Zm00001d028396,1,33307329,0.14703,0.70144,8.81E-05,0.14703,0.70144,NaN,NaN,1,0.22605,1668,1.53746,1,0.22605,11
logit_germ,Zm00001d028412,1,34030968,1.81533,0.17805,0.00109,1.81533,0.17805,NaN,NaN,1,2.78821,1668,1.53593,1,2.78821,6
